symbol,name,ticktime,price,volume,prev_price,kind
sh688480,赛恩斯,2025-10-24 09:30:32,52.75,9849,52.75,D
sh688480,赛恩斯,2025-10-24 09:30:38,52.22,11609,52.22,U
sh688480,赛恩斯,2025-10-24 09:30:41,52.88,8000,52.22,U
sh688480,赛恩斯,2025-10-24 09:31:05,52.99,15611,52.89,U
sh688480,赛恩斯,2025-10-24 09:31:08,53.0,6208,52.99,U
sh688480,赛恩斯,2025-10-24 09:31:29,53.3,4247,53.18,U
sh688480,赛恩斯,2025-10-24 09:31:47,53.5,4100,53.1,U
sh688480,赛恩斯,2025-10-24 09:32:44,53.5,13004,53.46,U
sh688480,赛恩斯,2025-10-24 09:32:47,53.51,8028,53.5,E
sh688480,赛恩斯,2025-10-24 09:32:53,53.54,4824,53.83,D
sh688480,赛恩斯,2025-10-24 09:32:56,53.5,7635,53.54,D
sh688480,赛恩斯,2025-10-24 09:32:59,53.5,4415,53.5,U
sh688480,赛恩斯,2025-10-24 09:33:02,53.7,6222,53.5,U
sh688480,赛恩斯,2025-10-24 09:33:08,53.89,14817,53.7,U
sh688480,赛恩斯,2025-10-24 09:33:11,54.0,7021,53.89,U
sh688480,赛恩斯,2025-10-24 09:33:17,53.86,3933,54.0,D
sh688480,赛恩斯,2025-10-24 09:33:23,54.13,15624,53.86,U
sh688480,赛恩斯,2025-10-24 09:33:26,54.39,5088,54.13,U
sh688480,赛恩斯,2025-10-24 09:33:53,54.3,6668,54.31,U
sh688480,赛恩斯,2025-10-24 09:33:56,54.31,6911,54.3,U
sh688480,赛恩斯,2025-10-24 09:33:59,54.28,4459,54.31,E
sh688480,赛恩斯,2025-10-24 09:34:05,54.29,5251,54.28,U
sh688480,赛恩斯,2025-10-24 09:34:11,54.0,8231,54.15,D
sh688480,赛恩斯,2025-10-24 09:34:14,54.23,6547,54.0,E
sh688480,赛恩斯,2025-10-24 09:34:38,53.89,8789,53.9,D
sh688480,赛恩斯,2025-10-24 09:34:47,53.85,6637,53.9,D
sh688480,赛恩斯,2025-10-24 09:35:20,53.59,15094,53.79,D
sh688480,赛恩斯,2025-10-24 09:35:23,53.59,4789,53.59,U
sh688480,赛恩斯,2025-10-24 09:36:08,53.29,9231,53.19,U
sh688480,赛恩斯,2025-10-24 09:36:14,53.56,3828,53.54,E
sh688480,赛恩斯,2025-10-24 09:36:50,53.78,5000,53.7,U
sh688480,赛恩斯,2025-10-24 09:37:20,53.39,8135,53.57,D
sh688480,赛恩斯,2025-10-24 09:37:56,53.44,7810,53.77,D
sh688480,赛恩斯,2025-10-24 09:38:26,53.39,6409,53.45,D
sh688480,赛恩斯,2025-10-24 09:40:02,53.17,5164,53.69,D
sh688480,赛恩斯,2025-10-24 09:40:11,53.28,4657,53.28,U
