symbol,name,ticktime,price,volume,prev_price,kind
sh603871,嘉友国际,2025-09-26 09:25:01,14.4,40900,0.0,U
sh603871,嘉友国际,2025-09-26 09:30:53,14.22,55700,14.24,D
sh603871,嘉友国际,2025-09-26 09:30:56,14.27,43922,14.22,U
sh603871,嘉友国际,2025-09-26 09:31:11,14.24,16400,14.27,D
sh603871,嘉友国际,2025-09-26 09:31:14,14.31,14000,14.24,U
sh603871,嘉友国际,2025-09-26 09:31:35,14.27,16100,14.3,D
sh603871,嘉友国际,2025-09-26 09:32:26,14.28,58200,14.29,D
sh603871,嘉友国际,2025-09-26 09:32:29,14.32,29300,14.28,U
sh603871,嘉友国际,2025-09-26 09:32:32,14.32,20700,14.32,D
sh603871,嘉友国际,2025-09-26 09:33:20,14.36,14900,14.37,U
sh603871,嘉友国际,2025-09-26 09:33:23,14.36,28200,14.36,U
sh603871,嘉友国际,2025-09-26 09:33:53,14.36,42500,14.37,D
sh603871,嘉友国际,2025-09-26 09:34:08,14.35,14100,14.33,U
sh603871,嘉友国际,2025-09-26 09:34:11,14.39,42500,14.35,U
sh603871,嘉友国际,2025-09-26 09:34:20,14.47,78300,14.4,U
sh603871,嘉友国际,2025-09-26 09:34:23,14.5,18900,14.47,U
sh603871,嘉友国际,2025-09-26 09:34:35,14.55,44600,14.52,U
sh603871,嘉友国际,2025-09-26 09:34:41,14.54,23300,14.53,U
sh603871,嘉友国际,2025-09-26 09:34:44,14.56,20000,14.54,U
sh603871,嘉友国际,2025-09-26 09:34:50,14.56,26900,14.56,D
sh603871,嘉友国际,2025-09-26 09:34:56,14.53,39300,14.56,D
sh603871,嘉友国际,2025-09-26 09:36:11,14.43,22200,14.43,U
sh603871,嘉友国际,2025-09-26 09:36:26,14.39,60900,14.44,D
sh603871,嘉友国际,2025-09-26 09:36:29,14.4,16500,14.39,E
sh603871,嘉友国际,2025-09-26 09:37:26,14.43,15700,14.4,U
sh603871,嘉友国际,2025-09-26 09:37:50,14.43,21100,14.41,U
sh603871,嘉友国际,2025-09-26 09:38:23,14.41,99100,14.45,D
sh603871,嘉友国际,2025-09-26 09:38:26,14.42,20500,14.41,U
sh603871,嘉友国际,2025-09-26 09:38:29,14.45,14500,14.42,U
sh603871,嘉友国际,2025-09-26 09:38:32,14.49,19500,14.45,U
sh603871,嘉友国际,2025-09-26 09:39:20,14.48,13873,14.49,D
sh603871,嘉友国际,2025-09-26 09:39:26,14.49,15800,14.49,D
sh603871,嘉友国际,2025-09-26 09:39:38,14.5,14420,14.5,U
sh603871,嘉友国际,2025-09-26 09:40:11,14.52,14600,14.52,U
sh603871,嘉友国际,2025-09-26 09:40:20,14.51,30800,14.52,D
sh603871,嘉友国际,2025-09-26 09:40:23,14.55,87060,14.51,U
sh603871,嘉友国际,2025-09-26 09:40:26,14.52,26700,14.55,D
sh603871,嘉友国际,2025-09-26 09:40:32,14.54,15200,14.52,E
sh603871,嘉友国际,2025-09-26 09:40:35,14.56,15000,14.54,U
sh603871,嘉友国际,2025-09-26 09:40:44,14.54,39340,14.56,D
sh603871,嘉友国际,2025-09-26 09:40:50,14.61,45900,14.58,U
sh603871,嘉友国际,2025-09-26 09:40:56,14.63,23100,14.62,U
sh603871,嘉友国际,2025-09-26 09:41:05,14.62,24800,14.61,U
sh603871,嘉友国际,2025-09-26 09:41:17,14.6,16800,14.6,D
sh603871,嘉友国际,2025-09-26 09:41:32,14.68,181900,14.61,U
sh603871,嘉友国际,2025-09-26 09:41:35,14.7,49100,14.68,U
sh603871,嘉友国际,2025-09-26 09:41:47,14.67,14300,14.68,D
sh603871,嘉友国际,2025-09-26 09:41:53,14.69,25900,14.69,U
sh603871,嘉友国际,2025-09-26 09:41:59,14.69,21600,14.68,U
sh603871,嘉友国际,2025-09-26 09:42:02,14.74,35000,14.69,U
sh603871,嘉友国际,2025-09-26 09:42:05,14.75,15800,14.74,U
sh603871,嘉友国际,2025-09-26 09:42:08,14.76,18380,14.75,U
sh603871,嘉友国际,2025-09-26 09:42:17,14.76,15500,14.76,D
sh603871,嘉友国际,2025-09-26 09:42:23,14.77,77520,14.76,U
sh603871,嘉友国际,2025-09-26 09:42:26,14.77,15100,14.77,D
sh603871,嘉友国际,2025-09-26 09:42:29,14.8,21200,14.77,U
sh603871,嘉友国际,2025-09-26 09:42:32,14.79,19600,14.8,E
sh603871,嘉友国际,2025-09-26 09:42:35,14.81,39300,14.79,U
sh603871,嘉友国际,2025-09-26 09:42:38,14.8,18600,14.81,U
sh603871,嘉友国际,2025-09-26 09:42:41,14.79,35200,14.8,D
sh603871,嘉友国际,2025-09-26 09:42:44,14.81,23600,14.79,U
sh603871,嘉友国际,2025-09-26 09:42:50,14.81,28340,14.81,U
sh603871,嘉友国际,2025-09-26 09:42:56,14.79,33260,14.81,D
sh603871,嘉友国际,2025-09-26 09:43:20,14.76,36400,14.76,D
sh603871,嘉友国际,2025-09-26 09:43:32,14.73,30000,14.74,D
sh603871,嘉友国际,2025-09-26 09:43:35,14.74,46500,14.73,U
sh603871,嘉友国际,2025-09-26 09:43:38,14.74,47500,14.74,D
sh603871,嘉友国际,2025-09-26 09:43:50,14.7,14700,14.74,D
sh603871,嘉友国际,2025-09-26 09:43:53,14.74,14800,14.7,U
sh603871,嘉友国际,2025-09-26 09:43:56,14.7,15200,14.74,D
sh603871,嘉友国际,2025-09-26 09:44:11,14.63,41600,14.65,D
sh603871,嘉友国际,2025-09-26 09:45:14,14.7,15800,14.7,U
sh603871,嘉友国际,2025-09-26 09:45:23,14.68,14200,14.7,D
sh603871,嘉友国际,2025-09-26 09:45:38,14.73,17200,14.74,E
sh603871,嘉友国际,2025-09-26 09:45:44,14.73,27300,14.73,U
sh603871,嘉友国际,2025-09-26 09:46:17,14.71,15600,14.71,U
sh603871,嘉友国际,2025-09-26 09:46:32,14.7,15800,14.7,U
sh603871,嘉友国际,2025-09-26 09:46:35,14.74,121760,14.7,U
sh603871,嘉友国际,2025-09-26 09:46:38,14.73,24200,14.74,D
sh603871,嘉友国际,2025-09-26 09:46:47,14.75,15100,14.75,U
sh603871,嘉友国际,2025-09-26 09:47:29,14.73,24200,14.73,U
