symbol,name,ticktime,price,volume,prev_price,kind
sh603969,银龙股份,2025-10-14 09:25:01,10.94,48900,0.0,U
sh603969,银龙股份,2025-10-14 09:30:03,10.96,39300,10.94,U
sh603969,银龙股份,2025-10-14 09:30:09,10.98,115200,10.97,U
sh603969,银龙股份,2025-10-14 09:30:12,10.98,70000,10.98,D
sh603969,银龙股份,2025-10-14 09:30:21,10.98,19200,10.98,D
sh603969,银龙股份,2025-10-14 09:30:24,10.99,41300,10.98,U
sh603969,银龙股份,2025-10-14 09:30:27,10.97,89700,10.99,D
sh603969,银龙股份,2025-10-14 09:30:30,10.97,67000,10.97,D
sh603969,银龙股份,2025-10-14 09:30:33,10.96,59900,10.97,D
sh603969,银龙股份,2025-10-14 09:30:36,10.96,53000,10.96,U
sh603969,银龙股份,2025-10-14 09:30:42,10.94,159400,10.95,D
sh603969,银龙股份,2025-10-14 09:30:48,10.94,20600,10.96,D
sh603969,银龙股份,2025-10-14 09:30:51,10.94,21618,10.94,U
sh603969,银龙股份,2025-10-14 09:31:00,10.92,45400,10.93,D
sh603969,银龙股份,2025-10-14 09:31:15,10.93,28200,10.92,U
sh603969,银龙股份,2025-10-14 09:31:21,10.91,43200,10.92,D
sh603969,银龙股份,2025-10-14 09:31:24,10.91,54400,10.91,U
sh603969,银龙股份,2025-10-14 09:31:27,10.94,20318,10.91,U
sh603969,银龙股份,2025-10-14 09:31:42,10.92,24600,10.93,D
sh603969,银龙股份,2025-10-14 09:31:48,10.94,32382,10.93,U
sh603969,银龙股份,2025-10-14 09:31:54,10.95,21300,10.93,U
sh603969,银龙股份,2025-10-14 09:32:06,10.92,44400,10.93,D
sh603969,银龙股份,2025-10-14 09:32:15,10.94,55900,10.92,U
sh603969,银龙股份,2025-10-14 09:32:27,10.94,54100,10.94,U
sh603969,银龙股份,2025-10-14 09:32:39,10.93,66100,10.95,D
sh603969,银龙股份,2025-10-14 09:32:45,10.94,28400,10.93,U
sh603969,银龙股份,2025-10-14 09:32:57,10.95,21900,10.95,D
sh603969,银龙股份,2025-10-14 09:33:06,10.94,31600,10.93,U
sh603969,银龙股份,2025-10-14 09:33:09,10.93,19900,10.94,D
sh603969,银龙股份,2025-10-14 09:33:15,10.94,102900,10.93,U
sh603969,银龙股份,2025-10-14 09:33:18,10.92,28200,10.94,D
sh603969,银龙股份,2025-10-14 09:33:24,10.92,76400,10.91,U
sh603969,银龙股份,2025-10-14 09:33:36,10.93,20600,10.94,D
sh603969,银龙股份,2025-10-14 09:33:45,10.95,29700,10.93,U
sh603969,银龙股份,2025-10-14 09:34:39,10.99,103000,10.99,D
sh603969,银龙股份,2025-10-14 09:34:42,10.98,58300,10.99,D
sh603969,银龙股份,2025-10-14 09:34:48,11.0,46700,10.97,U
sh603969,银龙股份,2025-10-14 09:35:09,10.97,40900,10.99,D
sh603969,银龙股份,2025-10-14 09:36:03,10.97,65500,10.98,D
sh603969,银龙股份,2025-10-14 09:36:12,10.99,122300,10.97,U
sh603969,银龙股份,2025-10-14 09:36:15,11.02,116600,10.99,U
sh603969,银龙股份,2025-10-14 09:36:18,11.05,60300,11.02,U
sh603969,银龙股份,2025-10-14 09:36:21,11.04,51700,11.05,E
sh603969,银龙股份,2025-10-14 09:36:45,11.03,18300,11.03,D
sh603969,银龙股份,2025-10-14 09:37:39,11.04,28200,11.04,U
sh603969,银龙股份,2025-10-14 09:37:48,11.04,19300,11.04,U
sh603969,银龙股份,2025-10-14 09:37:54,11.07,102800,11.04,U
sh603969,银龙股份,2025-10-14 09:37:57,11.02,22900,11.07,D
sh603969,银龙股份,2025-10-14 09:38:24,11.04,188400,11.05,D
