symbol,name,ticktime,price,volume,prev_price,kind
sh688668,鼎通科技,2025-10-23 09:25:00,96.0,61023,0.0,U
sh688668,鼎通科技,2025-10-23 09:30:02,95.0,54486,96.0,D
sh688668,鼎通科技,2025-10-23 09:30:05,96.01,9953,95.0,U
sh688668,鼎通科技,2025-10-23 09:30:08,96.0,10883,96.01,D
sh688668,鼎通科技,2025-10-23 09:30:11,96.0,9746,96.0,D
sh688668,鼎通科技,2025-10-23 09:30:14,96.0,5835,96.0,D
sh688668,鼎通科技,2025-10-23 09:30:17,96.5,12014,96.0,U
sh688668,鼎通科技,2025-10-23 09:30:23,96.5,8497,96.5,D
sh688668,鼎通科技,2025-10-23 09:30:26,96.5,6400,96.5,D
sh688668,鼎通科技,2025-10-23 09:30:29,96.5,8215,96.5,D
sh688668,鼎通科技,2025-10-23 09:30:32,96.6,13343,96.5,U
sh688668,鼎通科技,2025-10-23 09:30:35,96.05,15476,96.6,D
sh688668,鼎通科技,2025-10-23 09:30:38,96.4,4186,96.05,U
sh688668,鼎通科技,2025-10-23 09:30:47,96.17,12354,96.25,D
sh688668,鼎通科技,2025-10-23 09:30:50,96.06,14391,96.17,D
sh688668,鼎通科技,2025-10-23 09:30:53,95.87,30269,96.06,D
sh688668,鼎通科技,2025-10-23 09:30:56,95.8,11090,95.87,D
sh688668,鼎通科技,2025-10-23 09:30:59,95.76,8622,95.8,D
sh688668,鼎通科技,2025-10-23 09:31:02,95.5,6775,95.76,D
sh688668,鼎通科技,2025-10-23 09:31:08,95.42,16296,95.43,E
sh688668,鼎通科技,2025-10-23 09:31:11,95.46,16041,95.42,U
sh688668,鼎通科技,2025-10-23 09:31:14,95.54,6795,95.46,U
sh688668,鼎通科技,2025-10-23 09:31:17,95.46,27698,95.54,D
sh688668,鼎通科技,2025-10-23 09:31:23,95.64,4908,95.51,D
sh688668,鼎通科技,2025-10-23 09:31:35,95.82,3750,95.82,D
sh688668,鼎通科技,2025-10-23 09:31:38,95.85,9442,95.82,U
sh688668,鼎通科技,2025-10-23 09:31:41,95.85,3613,95.85,U
sh688668,鼎通科技,2025-10-23 09:31:50,95.99,2412,95.85,U
sh688668,鼎通科技,2025-10-23 09:31:53,95.81,5392,95.99,E
sh688668,鼎通科技,2025-10-23 09:31:56,95.52,13421,95.81,D
sh688668,鼎通科技,2025-10-23 09:31:59,95.81,5380,95.52,U
sh688668,鼎通科技,2025-10-23 09:32:02,95.46,9727,95.81,D
sh688668,鼎通科技,2025-10-23 09:32:05,95.42,6548,95.46,D
sh688668,鼎通科技,2025-10-23 09:32:08,95.46,7600,95.42,U
sh688668,鼎通科技,2025-10-23 09:32:11,95.21,9234,95.46,D
sh688668,鼎通科技,2025-10-23 09:32:14,95.02,14976,95.21,D
sh688668,鼎通科技,2025-10-23 09:32:17,95.0,47661,95.02,D
sh688668,鼎通科技,2025-10-23 09:32:20,95.0,25713,95.0,D
sh688668,鼎通科技,2025-10-23 09:32:23,95.02,28790,95.0,U
sh688668,鼎通科技,2025-10-23 09:32:26,95.06,8758,95.02,D
sh688668,鼎通科技,2025-10-23 09:32:29,95.06,9294,95.06,E
sh688668,鼎通科技,2025-10-23 09:32:32,95.03,2518,95.06,E
sh688668,鼎通科技,2025-10-23 09:32:35,95.0,10180,95.03,D
sh688668,鼎通科技,2025-10-23 09:32:38,95.02,3687,95.0,U
sh688668,鼎通科技,2025-10-23 09:32:41,95.03,5682,95.02,U
sh688668,鼎通科技,2025-10-23 09:32:44,95.03,2765,95.03,U
sh688668,鼎通科技,2025-10-23 09:32:47,95.0,6145,95.03,D
sh688668,鼎通科技,2025-10-23 09:32:50,95.05,10640,95.0,U
sh688668,鼎通科技,2025-10-23 09:32:53,95.02,6688,95.05,D
sh688668,鼎通科技,2025-10-23 09:32:56,95.0,12251,95.02,D
sh688668,鼎通科技,2025-10-23 09:32:59,94.88,4193,95.0,D
sh688668,鼎通科技,2025-10-23 09:33:02,94.89,5500,94.88,E
sh688668,鼎通科技,2025-10-23 09:33:05,94.8,9078,94.89,D
sh688668,鼎通科技,2025-10-23 09:33:08,94.83,2932,94.8,U
sh688668,鼎通科技,2025-10-23 09:33:11,94.6,7889,94.83,D
