
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.58 | 数量: 300 | 成交额: 4373.94 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.73 | 数量: 300 | 成交额: 4417.68 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 79.68
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.58 | 数量: 300 | 成交额: 4373.50 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4417.24 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 79.24
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.58 | 数量: 300 | 成交额: 4373.06 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4416.79 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 78.79
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.58 | 数量: 300 | 成交额: 4372.63 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4416.35 | 印花税: 4.42 | 佣金: 1.32 | 盈亏: 78.35
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4372.19 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4415.91 | 印花税: 4.42 | 佣金: 1.32 | 盈亏: 77.91
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4371.75 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4415.47 | 印花税: 4.42 | 佣金: 1.32 | 盈亏: 77.47
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4371.31 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4415.03 | 印花税: 4.42 | 佣金: 1.32 | 盈亏: 77.03
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4370.88 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.72 | 数量: 300 | 成交额: 4414.59 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 76.59
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4370.44 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4414.14 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 76.14
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4370.00 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
